x,y,z,entity_type,entity_id
50.00000000000003,190.0,0.0,POLYLINE,0
50.0,270.0,0.0,POLYLINE,0
-50.0,270.0,0.0,POLYLINE,0
-49.99999999999997,190.0,0.0,POLYLINE,0
9.999999999999991,250.0,0.0,POLYLINE,1
40.0,250.0,0.0,POLYLINE,1
40.0,235.0,0.0,POLYLINE,1
10.0,235.0,0.0,POLYLINE,1
37.500000000000014,210.290484539482,0.0,CIRCLE,2
37.22684500917258,212.889380674704,0.0,CIRCLE,2
36.41931822053252,215.37469257792952,0.0,CIRCLE,2
35.11271242968685,217.63780019313793,0.0,CIRCLE,2
33.36413257948574,219.57979485794942,0.0,CIRCLE,2
31.250000000000014,221.11580208678748,0.0,CIRCLE,2
28.862712429686855,222.17869099317141,0.0,CIRCLE,2
26.30660579084568,222.72200823158542,0.0,CIRCLE,2
23.693394209154345,222.72200823158542,0.0,CIRCLE,2
21.13728757031317,222.17869099317141,0.0,CIRCLE,2
18.750000000000014,221.11580208678748,0.0,CIRCLE,2
16.635867420514288,219.57979485794945,0.0,CIRCLE,2
14.88728757031317,217.63780019313793,0.0,CIRCLE,2
13.580681779467499,215.37469257792952,0.0,CIRCLE,2
12.77315499082744,212.889380674704,0.0,CIRCLE,2
12.50000000000001,210.290484539482,0.0,CIRCLE,2
12.77315499082744,207.69158840426002,0.0,CIRCLE,2
13.5806817794675,205.2062765010345,0.0,CIRCLE,2
14.887287570313166,202.94316888582608,0.0,CIRCLE,2
16.63586742051428,201.0011742210146,0.0,CIRCLE,2
18.750000000000007,199.46516699217653,0.0,CIRCLE,2
21.137287570313166,198.4022780857926,0.0,CIRCLE,2
23.693394209154334,197.8589608473786,0.0,CIRCLE,2
26.306605790845673,197.8589608473786,0.0,CIRCLE,2
28.86271242968685,198.4022780857926,0.0,CIRCLE,2
31.250000000000014,199.46516699217653,0.0,CIRCLE,2
33.36413257948574,201.0011742210146,0.0,CIRCLE,2
35.11271242968685,202.94316888582608,0.0,CIRCLE,2
36.419318220532524,205.2062765010345,0.0,CIRCLE,2
37.22684500917258,207.69158840426002,0.0,CIRCLE,2
37.500000000000014,210.290484539482,0.0,CIRCLE,2
